Log started on: 2024-08-19 13:54:42

[0/50][0/8] Loss_D: 676.2566528320312 Loss_G: -0.5675259828567505
[22/50][0/8] Loss_D: 0.9988888502120972 Loss_G: -0.436159610748291
[1/50][0/8] Loss_D: 10.105895042419434 Loss_G: -0.6316366195678711
[23/50][0/8] Loss_D: 1.162872076034546 Loss_G: -0.46465662121772766
[2/50][0/8] Loss_D: 7.4593939781188965 Loss_G: -0.6756975650787354
[24/50][0/8] Loss_D: 0.8757070302963257 Loss_G: -0.4519917964935303
[25/50][0/8] Loss_D: 0.5661708116531372 Loss_G: -0.10574398189783096
[3/50][0/8] Loss_D: 2.0882351398468018 Loss_G: -0.7624038457870483
[26/50][0/8] Loss_D: 1.3994648456573486 Loss_G: -0.39529716968536377
[4/50][0/8] Loss_D: 1.329709768295288 Loss_G: -0.7715629935264587
[27/50][0/8] Loss_D: 1.4074985980987549 Loss_G: -0.4481431245803833
[5/50][0/8] Loss_D: 0.26340582966804504 Loss_G: -0.7794638276100159
[28/50][0/8] Loss_D: 0.9052771329879761 Loss_G: -0.45437130331993103
[6/50][0/8] Loss_D: 0.19110924005508423 Loss_G: -0.7810152769088745
[29/50][0/8] Loss_D: 0.9671427011489868 Loss_G: -0.45843857526779175
[7/50][0/8] Loss_D: 0.40682658553123474 Loss_G: -0.7837762832641602
[30/50][0/8] Loss_D: 1.5587728023529053 Loss_G: -0.4339297413825989
[8/50][0/8] Loss_D: 0.37555745244026184 Loss_G: -0.7871251702308655
[31/50][0/8] Loss_D: 1.1057357788085938 Loss_G: -0.3878268301486969
[9/50][0/8] Loss_D: 0.2659342885017395 Loss_G: -0.7966285943984985
[32/50][0/8] Loss_D: 0.8794240951538086 Loss_G: -0.44741424918174744
[10/50][0/8] Loss_D: 0.2886086106300354 Loss_G: -0.7965414524078369
[33/50][0/8] Loss_D: 1.2933605909347534 Loss_G: -0.42422977089881897
[11/50][0/8] Loss_D: 0.257802814245224 Loss_G: -0.5864989757537842
[34/50][0/8] Loss_D: 0.923239529132843 Loss_G: -0.4431780278682709
[12/50][0/8] Loss_D: 0.4842106103897095 Loss_G: -0.7794753313064575
[35/50][0/8] Loss_D: 1.5827391147613525 Loss_G: -0.33750057220458984
[13/50][0/8] Loss_D: 0.1778682917356491 Loss_G: -0.8037447333335876
[36/50][0/8] Loss_D: 1.2211962938308716 Loss_G: -0.43375372886657715
[14/50][0/8] Loss_D: 0.20031356811523438 Loss_G: -0.8002610802650452
[37/50][0/8] Loss_D: 0.8884647488594055 Loss_G: -0.44543901085853577
[15/50][0/8] Loss_D: 0.13740047812461853 Loss_G: -0.7874761819839478
[38/50][0/8] Loss_D: 0.9759528636932373 Loss_G: -0.44152331352233887
[16/50][0/8] Loss_D: 0.41858014464378357 Loss_G: -0.8077710866928101
[39/50][0/8] Loss_D: 0.8554732203483582 Loss_G: -0.45288050174713135
[17/50][0/8] Loss_D: 0.14625269174575806 Loss_G: -0.7836284041404724
[40/50][0/8] Loss_D: 0.8923050165176392 Loss_G: -0.4386344850063324
[18/50][0/8] Loss_D: 0.143321692943573 Loss_G: -0.8196677565574646
[41/50][0/8] Loss_D: 0.458371639251709 Loss_G: -0.07094771414995193
[19/50][0/8] Loss_D: 0.1752641648054123 Loss_G: -0.8024601340293884
[42/50][0/8] Loss_D: 1.0825355052947998 Loss_G: -0.36225050687789917
[20/50][0/8] Loss_D: 0.14895546436309814 Loss_G: -0.7946641445159912
[43/50][0/8] Loss_D: 1.217250943183899 Loss_G: -0.40200018882751465
[21/50][0/8] Loss_D: 0.8486568927764893 Loss_G: -0.8004299998283386
[44/50][0/8] Loss_D: 1.1108872890472412 Loss_G: -0.43456369638442993
[22/50][0/8] Loss_D: 0.018372006714344025 Loss_G: -0.5087577104568481
[45/50][0/8] Loss_D: 0.8856501579284668 Loss_G: -0.44169244170188904
[23/50][0/8] Loss_D: 0.19916248321533203 Loss_G: -0.808188259601593
[46/50][0/8] Loss_D: 0.8468818664550781 Loss_G: -0.4558284282684326
[24/50][0/8] Loss_D: 0.1462564468383789 Loss_G: -0.8002026081085205
[47/50][0/8] Loss_D: 0.909470796585083 Loss_G: -0.4160315990447998
[25/50][0/8] Loss_D: 0.1407291293144226 Loss_G: -0.8169925212860107
[48/50][0/8] Loss_D: 0.9652196168899536 Loss_G: -0.3937596082687378
[26/50][0/8] Loss_D: 0.38240277767181396 Loss_G: -0.7921305298805237
[49/50][0/8] Loss_D: 0.8636480569839478 Loss_G: -0.4346191883087158
[27/50][0/8] Loss_D: 0.13959228992462158 Loss_G: -0.825657844543457
[28/50][0/8] Loss_D: 0.22599492967128754 Loss_G: -0.7343014478683472
[29/50][0/8] Loss_D: 0.439323753118515 Loss_G: -0.8056561350822449
[30/50][0/8] Loss_D: 0.12120525538921356 Loss_G: -0.8122933506965637
[31/50][0/8] Loss_D: 0.2034546583890915 Loss_G: -0.8285534381866455
[32/50][0/8] Loss_D: 0.08429257571697235 Loss_G: -0.6438406705856323
[33/50][0/8] Loss_D: 0.26389190554618835 Loss_G: -0.6951897144317627
[34/50][0/8] Loss_D: 0.12304171919822693 Loss_G: -0.8187484741210938
[35/50][0/8] Loss_D: 0.17723816633224487 Loss_G: -0.8257040977478027
[36/50][0/8] Loss_D: 0.20580069720745087 Loss_G: -0.8315235376358032
[37/50][0/8] Loss_D: 0.15392005443572998 Loss_G: -0.8221138715744019
[38/50][0/8] Loss_D: 0.21786543726921082 Loss_G: -0.8339123129844666
[39/50][0/8] Loss_D: 0.19745475053787231 Loss_G: -0.8354705572128296
[40/50][0/8] Loss_D: 0.31137359142303467 Loss_G: -0.8156994581222534
[41/50][0/8] Loss_D: 0.23209507763385773 Loss_G: -0.8429253101348877
[42/50][0/8] Loss_D: 0.2057303637266159 Loss_G: -0.8077660799026489
[43/50][0/8] Loss_D: -0.059563860297203064 Loss_G: -0.2833121418952942
[44/50][0/8] Loss_D: 0.12628063559532166 Loss_G: -0.8411583304405212
[45/50][0/8] Loss_D: 0.19514144957065582 Loss_G: -0.8277159333229065
[46/50][0/8] Loss_D: 0.40352189540863037 Loss_G: -0.8299036622047424
[47/50][0/8] Loss_D: 0.25581803917884827 Loss_G: -0.8449752926826477
[48/50][0/8] Loss_D: 0.14834022521972656 Loss_G: -0.7994402647018433
[49/50][0/8] Loss_D: 0.2438799887895584 Loss_G: -0.826974093914032
